true,pred,count,rate
4,11,134,0.3175355450236967
4,0,93,0.22037914691943128
0,4,74,0.24183006535947713
2,11,67,0.5929203539823009
10,0,59,0.23046875
11,4,43,0.16731517509727625
0,10,42,0.13725490196078433
5,10,37,0.6065573770491803
4,9,33,0.07819905213270142
8,11,30,0.43478260869565216
1,11,29,0.5178571428571429
0,11,29,0.09477124183006536
9,0,27,0.16363636363636364
9,4,27,0.16363636363636364
11,0,23,0.08949416342412451
9,11,22,0.13333333333333333
0,9,19,0.06209150326797386
6,11,15,0.5769230769230769
4,10,15,0.035545023696682464
2,4,14,0.12389380530973451
1,4,13,0.23214285714285715
5,0,13,0.21311475409836064
10,4,13,0.05078125
11,9,13,0.05058365758754864
7,0,12,0.5454545454545454
3,10,12,0.5
8,4,12,0.17391304347826086
10,11,12,0.046875
2,9,10,0.08849557522123894
9,10,10,0.06060606060606061
10,3,8,0.03125
11,2,8,0.0311284046692607
8,2,7,0.10144927536231885
1,0,6,0.10714285714285714
11,10,6,0.023346303501945526
4,2,6,0.014218009478672985
7,4,5,0.22727272727272727
1,9,5,0.08928571428571429
5,4,5,0.08196721311475409
2,10,5,0.04424778761061947
10,9,5,0.01953125
3,0,4,0.16666666666666666
3,4,4,0.16666666666666666
6,4,4,0.15384615384615385
5,11,4,0.06557377049180328
8,0,4,0.057971014492753624
8,9,3,0.043478260869565216
2,0,3,0.02654867256637168
10,5,3,0.01171875
7,11,2,0.09090909090909091
7,9,2,0.09090909090909091
3,11,2,0.08333333333333333
3,9,2,0.08333333333333333
6,0,2,0.07692307692307693
6,8,2,0.07692307692307693
6,9,2,0.07692307692307693
5,9,2,0.03278688524590164
2,3,2,0.017699115044247787
2,8,2,0.017699115044247787
9,2,2,0.012121212121212121
11,3,2,0.007782101167315175
7,10,1,0.045454545454545456
6,10,1,0.038461538461538464
1,10,1,0.017857142857142856
1,2,1,0.017857142857142856
8,1,1,0.014492753623188406
8,10,1,0.014492753623188406
9,8,1,0.006060606060606061
11,1,1,0.0038910505836575876
11,8,1,0.0038910505836575876
0,3,1,0.0032679738562091504
4,8,1,0.002369668246445498
